"INSPECTION1","INSPECTION2","INSPECTION3","INSPECTION4","INSPECTION5","INSPECTION6","INSPECTION7","INSPECTION8","INSPECTION9","INSPECTION10","INSPECTION11","INSPECTION12","INSPECTION13","INSPECTION14","INSPECTION15","INSPECTION16","INSPECTION17","INSPECTION18","INSPECTION19","INSPECTION20","INSPECTION21","INSPECTION22","INSPECTION23","INSPECTION24","INSPECTION25","INSPECTION26","INSPECTION27","INSPECTION28","INSPECTION29","INSPECTION30","INSPECTION31","INSPECTION32","INSPECTION33"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,10,13,13,13,13,10,13,12,13,13,12,12
16,16,16,16,16,16,16,22,17,13,10,19,9,9,17,13,18,22,19,13,19,18,18,10,17,17,22,9,19,22,22,17,17
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,11,12,12,11,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,13,13
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,2
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,25,15,8,25,15,12,12,13,25,25,25,8,12,13,25
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,13,13,13,13,13,9,9,9
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,7,35,7,35,5,35,13
26,26,26,26,26,21,21,34,34,23,21,23,23,21,23,21,19,34,34,34,23,23,34,19,21,19,34,19,34,23,34,23,23
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,3,20,20,7,20,12,20,12,7
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,13,13,9,9
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,15,15,18,13,18,13,10,10,15,13,15
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,2
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,12,12,13,12,12
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,12,11,13,9,9,13,13,11,9,12,11,11
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,9,12,12,6,11,12,12,9,12,12,11,6
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,7,12,12,10,40,40,7,10,40,12,40
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,12,12,9,9,12,13,13
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,7,12,10,12,15,15,12,15,10,10
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,12,9,9,3,12,8,9
